id	Ct	tipo	plataforma
sample_9	NA	N	Illumina
sample_9	NA	ORF	Illumina
sample_9	18.02	S	Illumina
sample_9	NA	PCR	Illumina
sample_9	NA	N	Illumina
sample_9	NA	ORF	Illumina
sample_9	34.09	S	Illumina
sample_9	NA	PCR	Illumina
sample_9	NA	N	Illumina
sample_9	NA	ORF	Illumina
sample_9	21.58	S	Illumina
sample_9	NA	PCR	Illumina
sample_9	NA	N	Illumina
sample_9	NA	ORF	Illumina
sample_9	22.22	S	Illumina
sample_9	NA	PCR	Illumina
sample_9	NA	N	Illumina
sample_9	NA	ORF	Illumina
sample_9	21.39	S	Illumina
sample_9	NA	PCR	Illumina
sample_9	NA	N	Illumina
sample_9	NA	ORF	Illumina
sample_9	22.91	S	Illumina
sample_9	NA	PCR	Illumina
sample_9	NA	N	Illumina
sample_9	NA	ORF	Illumina
sample_9	22.27	S	Illumina
sample_9	NA	PCR	Illumina
sample_9	NA	N	Illumina
sample_9	NA	ORF	Illumina
sample_9	23.17	S	Illumina
sample_9	NA	PCR	Illumina
sample_9	NA	N	Illumina
sample_9	NA	ORF	Illumina
sample_9	24.36	S	Illumina
sample_9	NA	PCR	Illumina
sample_9	NA	N	Illumina
sample_9	NA	ORF	Illumina
sample_10	24.89	S	Illumina
sample_10	NA	PCR	Illumina
sample_10	NA	N	Illumina
sample_10	NA	ORF	Illumina
sample_10	18.02	S	Illumina
sample_10	NA	PCR	Illumina
sample_10	NA	N	Illumina
sample_10	NA	ORF	Illumina
sample_10	34.09	S	Illumina
sample_10	NA	PCR	Illumina
sample_10	NA	N	Illumina
sample_10	NA	ORF	Illumina
sample_10	21.58	S	Illumina
sample_10	NA	PCR	Illumina
sample_10	NA	N	Illumina
sample_10	NA	ORF	Illumina
sample_10	22.22	S	Illumina
sample_10	NA	PCR	Illumina
sample_10	NA	N	Illumina
sample_10	NA	ORF	Illumina
sample_10	21.39	S	Illumina
sample_10	NA	PCR	Ion Torrent
sample_10	21	N	Ion Torrent
sample_10	21	ORF	Ion Torrent
sample_10	NA	S	Ion Torrent
sample_10	NA	PCR	Ion Torrent
sample_10	18	N	Ion Torrent
sample_10	18	ORF	Ion Torrent
sample_10	18	S	Ion Torrent
sample_10	NA	PCR	Ion Torrent
sample_10	23	N	Ion Torrent
sample_10	22	ORF	Ion Torrent
sample_10	NA	S	Ion Torrent
sample_10	NA	PCR	Ion Torrent
sample_10	22	N	Ion Torrent
sample_10	21	ORF	Ion Torrent
sample_10	21	S	Ion Torrent
sample_10	NA	PCR	Ion Torrent
sample_10	23	N	Ion Torrent
sample_10	24	ORF	Ion Torrent
sample_10	23	S	Ion Torrent
sample_1	NA	PCR	Ion Torrent
sample_1	24	N	Ion Torrent
sample_1	25	ORF	Ion Torrent
sample_1	24	S	Ion Torrent
sample_1	NA	PCR	Ion Torrent
sample_1	29	N	Ion Torrent
